param N := 14;
param mattraf : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 :=
	1 0.000 33.029 32.103 26.008  0.525  0.383 82.633 31.992 37.147  0.568  0.358  0.544  0.651  0.160
	2 0.546  0.000  0.984  0.902  0.866  0.840  0.013 62.464  0.475  0.001  0.342  0.925  0.656  0.501
	3 35.377  0.459  0.000  0.732  0.272  0.413 28.242  0.648  0.909  0.991 56.150 23.617  1.584  0.935
	4 0.739  0.225  0.296  0.000  0.896  0.344  0.012 84.644  0.293  0.208  0.755  0.106  0.902  0.715
	5 0.482 96.806  0.672 51.204  0.000  0.451  0.979  0.814  0.225  0.694  0.504  0.704  0.431  0.333
	6 0.456  0.707  0.626  0.152  0.109  0.000  0.804  0.476  0.429  0.853  0.280  0.322 90.503  0.212
	7 0.042  0.067  0.683  0.862  0.197  0.831  0.000  0.585 67.649 56.138  0.896  0.858 73.721  0.582
	8 0.616  0.640  0.096 97.431  0.308  0.441  0.299  0.000  0.161  0.490  0.321  0.638 82.231  0.376
	9 0.786  0.323  0.676  0.359  0.019 50.127 12.129  0.650  0.000  0.483 45.223 58.164  0.894  0.613
	10 0.037  0.318  0.367  2.981  0.976  0.629  0.525  0.293  0.641  0.000 33.922  0.228  0.995 71.905
	11 12.609  0.479  0.146  0.174  0.181  0.072  23.080 0.671  0.634  0.759  0.000  0.725  0.592  0.445
	12 0.887  0.004  1.614  0.471  0.120  0.263  0.585  0.086  0.157 95.633 42.828  0.000  0.527  0.021
	13 9.019  0.569  0.936  0.975 81.779  0.573  0.738  0.410  0.490  0.948  0.154  0.145  0.000  0.436
	14 20.442  0.515  0.719  0.089 39.269 49.984  0.720  0.863  0.858  0.490  0.106 0.765  0.059  0.000
	;
param HmaxL := 0.000001;
end;

