param N := 14;
param mattraf:   1      2      3      4      5      6      7      8      9     10     11     12     13     14
:=              1  0.000  1.090  2.060  0.140  0.450  0.040  0.430  1.450  0.510  0.100  0.070  0.080  0.000  0.330
                2 11.710  0.000  8.560  0.620 11.120  7.770  3.620  15.790 3.660  16.610 2.030 37.810  4.830 13.190
                3  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
                4  0.310  3.410  13.64  0.000  1.900  0.600  0.700  2.880  2.000  3.260  3.070  6.690  0.080  4.010
                5  0.280 67.510  19.02  3.430  0.000  4.030  10.77  62.22  24.02  17.92  0.450  79.03  9.970  5.290
                6  0.000  5.810  3.420  5.520  3.400  0.000  2.610  2.680  0.870  3.870  0.040  0.840  0.060  2.480
                7  1.750  22.02  102.31 4.470  22.03  7.900  0.000  114.1  19.82  21.95  0.780  71.40  0.330  32.84
                8  2.390  63.84  210.30 8.520  28.210 2.660  97.08  0.000  43.95  33.00  11.37  48.63  5.530  13.85
                9  6.450  18.93  37.35  6.000  24.99  6.810  25.06  61.02  0.000  39.62  14.52  127.5  23.34  0.760
               10  0.050  35.29  10.26  3.730  22.34  9.480  4.980  57.08  6.840  0.000  6.300  17.64  5.910  0.760
               11  0.100  1.020  3.130  1.690  0.240  0.060  0.810  1.450  0.580  7.120  0.000  0.840  0.060  0.500
               12  1.280  26.15  1.000  5.940  24.86  1.320  5.490  40.57  29.53  22.37  10.50  0.000  1.010  0.540
               13  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
               14  0.730  29.09  13.63  9.890  35.61  12.07  6.440  28.79  4.670  0.000  3.990  0.000  10.750 0.000
;
end;
